Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,23,23-80,OK,N ,R1,2017-09-01,12,10,12.csv,Y.II.10
0,S.sid,23,23-81,OK,NP,R1,2017-09-01,12,11,12.csv,Y.II.11
0,S.sid,24,24-1,OK,Control ,R2,2017-09-01,13,1,13.csv,Y.II.1
0,S.sid,24,24-2,OK,N ,R2,2017-09-01,13,2,13.csv,Y.II.2
0,S.sid,24,24-3,OK,NP,R2,2017-09-01,13,3,13.csv,Y.II.3
0,S.sid,24,24-4,Meh,N ,R2,2017-09-01,13,4,13.csv,Y.II.4
0,S.sid,24,24-5,OK,Control ,R1,2017-09-01,13,5,13.csv,Y.II.5
0,S.sid,24,24-6,OK,N ,R1,2017-09-01,13,6,13.csv,Y.II.6
0,S.sid,24,24-7,OK,NP,R1,2017-09-01,13,7,13.csv,Y.II.7
0,S.sid,24,24-8,OK,Control ,R2,2017-09-01,13,8,13.csv,Y.II.8
0,S.sid,24,24-9,OK,N ,R2,2017-09-01,13,9,13.csv,Y.II.9
0,S.sid,24,24-10,OK,NP,R2,2017-09-01,13,10,13.csv,Y.II.10
0,S.sid,24,24-11,OK,Control ,R1,2017-09-01,13,11,13.csv,Y.II.11
0,S.sid,24,24-12,OK,N ,R1,2017-09-01,13,12,13.csv,Y.II.12
0,S.sid,24,24-13,Meh,NP,R2,2017-09-01,13,13,13.csv,Y.II.13
0,S.sid,24,24-14,OK,NP,R1,2017-09-01,13,14,13.csv,Y.II.14
0,S.sid,24,24-15,OK,Control ,R2,2017-09-01,13,15,13.csv,Y.II.15
0,S.sid,24,24-16,OK,N ,R2,2017-09-01,13,16,13.csv,Y.II.16
0,S.sid,24,24-17,OK,NP,R2,2017-09-01,13,17,13.csv,Y.II.17
0,S.sid,24,24-18,OK,Control ,R1,2017-09-01,13,18,13.csv,Y.II.18
0,S.sid,24,24-19,OK,N ,R1,2017-09-01,13,19,13.csv,Y.II.19
0,S.sid,24,24-20,OK,NP,R1,2017-09-01,13,20,13.csv,Y.II.20
0,S.sid,24,24-21,OK,Control ,R2,2017-09-01,13,21,13.csv,Y.II.21
0,S.sid,24,24-22,OK,N ,R2,2017-09-01,14,1,14.csv,Y.II.1
0,S.sid,24,24-23,OK,NP,R2,2017-09-01,14,2,14.csv,Y.II.2
0,S.sid,24,24-24,OK,Control ,R1,2017-09-01,14,3,14.csv,Y.II.3
0,S.sid,24,24-25,Meh,Control ,R1,2017-09-01,14,4,14.csv,Y.II.4
0,S.sid,24,24-26,OK,N ,R1,2017-09-01,14,5,14.csv,Y.II.5
0,S.sid,24,24-27,OK,NP,R1,2017-09-01,14,6,14.csv,Y.II.6
0,S.sid,24,24-28,OK,Control ,R2,2017-09-01,14,7,14.csv,Y.II.7
0,S.sid,24,24-29,OK,N ,R2,2017-09-01,14,8,14.csv,Y.II.8
0,S.sid,24,24-30,OK,NP,R2,2017-09-01,14,9,14.csv,Y.II.9
0,S.sid,24,24-31,Meh,N ,R1,2017-09-01,14,10,14.csv,Y.II.10
0,S.sid,24,24-32,OK,Control ,R1,2017-09-01,14,11,14.csv,Y.II.11
